Key,Value,Description
access,public,@see https://wiki.openstreetmap.org/w/index.php?title=Category:Tag_descriptions_with_status_%22deprecated%22&pageuntil=power+sub_station%0ATag%3Apower%3Dsub+station#mw-pages
access,restricted,
access,use_sidepath,
aerialway,canopy,
amenity,administration,
amenity,advertising,
amenity,alm,
amenity,artwork,
amenity,car_repair,
amenity,citymap_post,
amenity,club,
amenity,concession_stand,
amenity,consulate,
amenity,customs,
amenity,disused,
amenity,dog_bin,
amenity,dog_waste_bin,
amenity,education,
amenity,embassy,
amenity,emergency_phone,
amenity,ev_charging,
amenity,fire_hydrant,
amenity,garages,
amenity,gym,
amenity,high_school,
amenity,hospice,
amenity,hotel,
amenity,hydrant,
amenity,jobcentre,
amenity,kiosk,
amenity,life_ring,
amenity,nursery,
amenity,office,
amenity,park,
amenity,preschool,
amenity,proposed,
amenity,public_building,
amenity,refugee_housing,
amenity,register_office,
amenity,sauna,
amenity,shop,
amenity,spa,
amenity,swimming_pool,
amenity,ticket_booth,
amenity,trailer_park,
amenity,water,
amenity,winery,
amenity,youth_centre,
barrier,boom,
barrier,embankment,
board type,board,
boundary,national,
bridge,drawbridge,
building,*,
building,abandoned,
building,central_office,
building,collapsed,
building,condominium,
building,constructie,
building,disused,
building,entrance,
building,planned,
building,proposed,
building,true,
building,unclassified,
building,undefined,
building,unidentified,
building,unknown,
building,Y,
camp_site,camp_pitch,
carpenter,joiner,
communication,mobile_phone,
craft,car_repair,
crop,bananas,
crop,corn,
crop,sugar,
crossing,unknown,
cycle_network,cycle_highway,
camp_site,camp_pitch,
dataset,buildings,
delivery,shipment,
demolished,yes,
diplomatic,consulate_general,
education,school,
emergency,aed,
emergency,fire_station,
emergency,lifeguard_base,
emergency,lifeguard_platform,
emergency,lifeguard_tower,
emergency,water_rescue_station,
entrance,gate,
entrance,main_entrance,
farmland,pasture,
footway,both,
footway,left,
footway,none,
footway,right,
footway,yes,
healthcare,community_health_worker,
highway,abandoned,
highway,ford,
highway,ohm:military:Trench,
highway,razed,
highway,trail,
highway,unsurfaced,
historic,abandoned,
historic,paleontological_site,
historic,wayside_chapel,
hunting,raised hide,
industrial,brewery,
industrial,fish_farm,
industrial,food_industry,
industrial,food_processing,
industrial,furniture,
industrial,machine_shop,
industrial,oil_mill,
industrial,rice_mill,
industrial,integrated circuit,
industrial,steelmaking,
industrial,winery,
landcover,dunes,
landcover,gravel,
landcover,sand,
landcover,shrubland,
landcover,shrubs,
landform,dune,
landmark,windsock,
landuse,agriculture,
landuse,churchyard,
landuse,farm,
landuse,field,
landuse,fishfarm,
landuse,fish pond,
landuse,house,
landuse,livestock,
landuse,observatory,
landuse,plantation,
landuse,pond,
landuse,prison,
landuse,radio,
landuse,school,
landuse,street,
landuse,trees,
landuse,well,landuse=industrial;industrial=weelsite;man_made=petroleum_weel (si c'est du pétrole)
landuse,wellsite,landuse=industrial;industrial=weelsite;man_made=petroleum_weel (si c'est du pétrole)
landuse,wood,
landuse,yes,
lane,buffered,
leisure,arena,
leisure,bbq,
leisure,beach,
leisure,casino,
leisure,club,
leisure,gambling,
leisure,hot spring,
leisure,ski playground,
leisure,video arcade,
level_crossing,automatic barrier,
man_made,campanile,
man_made,cut_line,
man_made,hot_water_tank,
man_made,hunting_stand,
man_made,jetty,
man_made,launch_pad,
man_made,MDF,
man_made,oil_well,
man_made,pillar,
man_made,power_hydro,
man_made,power_nuclear,
man_made,power_wind,
man_made,pumping_rig,
man_made,summit_cross,
man_made,water_tank,
man_made,well,
military,naval_base,
natural,bedrock,
natural,col,
natural,lake,
natural,land,
natural,lava,
natural,marsh,
natural,meadow,
natural,moor,
natural,moraine,
natural,riverbank,
nhd:fcode,46003,
nhd:ftype,StreamRiver,
noexit,no,
office,administrative,
office,healthcare,
office,real_estate_agent,
office,tax,
office,therapist,
operational_status,closed,
pipeline,marker,
pole,transition,
power,antenna_line,
power,busbar,
power,cable_distribution_cabinet,
power,marker,
power,station,
power,sub_station,
power,underground_cable,
railway,preserved,
residential,condominium,
route,ncn,
seamark,landmark,
service,bus,
service,busway,
service,driveway2,
shop,*,
shop,adult,
shop,antique,
shop,auto_parts,
shop,baby_care,
shop,betting,
shop,board,
shop,car_service,
shop,discount,
shop,dive,
shop,fast_food,
shop,fish,
shop,fishmonger,
shop,furnace,
shop,gallery,
shop,gambling,
shop,glass,
shop,health,
shop,jewellery,
shop,lamps,
shop,moneylender,
shop,office_supplies,
shop,organic,
shop,perfume,
shop,pharmacy,
shop,photography,
shop,tickets,
shop,underwear,
shop,vehicles,
shop,window,
shop,windows,
shop,winery,
signal station,traffic,
site type,bigstone,
sport,diving,
sport,football,
sport,gaelic_football,
sport,hockey,
sport,paragliding,
sport,shooting_range,
sport,skating,
sport,team_handball,
stream,intermittent,
surface,rocks,
tomb,cenotaph,
tourism,bed_and_breakfast,
tourism,resort,
tower:type,suspension,
trade,wood,
type,triangulation,
water,intermittent,
water,tidal,
waterway,artificial,
waterway,brook,
waterway,mooring,
waterway,spillway,
waterway,wadi,
wetland,saltern,
wood,coniferous,
wood,eucalypt,
wood,evergreen,
wood,nipa_palm,
